Nombre	Secuencia	Datos requeridos / Datos Adicionales	Resultado Esperado
1 Funcional – Reportar Post – Acceso al menú / Web	1. Iniciar sesión como usuario válido 2. Navegar a cualquier Tribu a la que el usuario pertenezca 3. Localizar un post en el feed 4. Dar click en el icono de tres puntos en la esquina superior izquierda de la caja del post	Usuario autenticado perteneciente a al menos una Tribu	Se despliega el menú con la opción "Report post" visible
2 Funcional – Reportar Post – Apertura del modal / Web	1. Iniciar sesión como usuario válido 2. Navegar a cualquier Tribu a la que el usuario pertenezca 3. Localizar un post y dar click en el icono de tres puntos 4. Seleccionar la opción "Report post"	Usuario autenticado perteneciente a al menos una Tribu	Se abre el modal "Report an issue" mostrando las diferentes opciones de problemas que se pueden reportar
3 Funcional – Reportar Post – Estado inicial del botón Send report / Web	1. Iniciar sesión como usuario válido 2. Navegar a cualquier Tribu y abrir un post 3. Dar click en los tres puntos y seleccionar "Report post" 4. Observar el estado del botón "Send report" sin seleccionar ninguna opción	Usuario autenticado perteneciente a al menos una Tribu	El botón "Send report" está deshabilitado (no se puede dar click)
4 Funcional – Reportar Post – Selección de razón habilita botón / Web	1. Iniciar sesión como usuario válido 2. Navegar a cualquier Tribu y abrir un post 3. Dar click en los tres puntos y seleccionar "Report post" 4. En el modal, seleccionar cualquiera de las opciones de reporte disponibles 5. Observar el estado del botón "Send report"	Usuario autenticado, Razón de reporte válida (cualquier opción disponible en el modal)	El botón "Send report" se habilita después de seleccionar una razón
5 Funcional – Reportar Post – Envío exitoso del reporte / Web	1. Iniciar sesión como usuario válido 2. Navegar a cualquier Tribu y abrir un post 3. Dar click en los tres puntos y seleccionar "Report post" 4. Seleccionar una razón de reporte 5. Dar click en el botón "Send report"	Usuario autenticado, Razón de reporte seleccionada	El reporte se envía, el modal se cierra y aparece un toast informando que el reporte fue enviado
6 Funcional – Reportar Post – Cerrar modal con X / Web	1. Iniciar sesión como usuario válido 2. Navegar a cualquier Tribu y abrir un post 3. Dar click en los tres puntos y seleccionar "Report post" 4. En el modal abierto, dar click en el icono de la X	Usuario autenticado perteneciente a al menos una Tribu	El modal "Report an issue" se cierra sin enviar ningún reporte
7 Funcional – Reportar Post – Cerrar modal con X después de seleccionar razón / Web	1. Iniciar sesión como usuario válido 2. Navegar a cualquier Tribu y abrir un post 3. Dar click en los tres puntos y seleccionar "Report post" 4. Seleccionar una razón de reporte 5. Dar click en el icono de la X	Usuario autenticado, Razón de reporte seleccionada	El modal se cierra sin enviar el reporte, no aparece toast de confirmación
8 Funcional – Reportar Post – Reportar múltiples posts / Web	1. Iniciar sesión como usuario válido 2. Navegar a cualquier Tribu a la que el usuario pertenezca 3. Reportar un primer post siguiendo el flujo completo (seleccionar razón y enviar) 4. Localizar un segundo post diferente 5. Dar click en los tres puntos del segundo post y seleccionar "Report post" 6. Seleccionar una razón y dar click en "Send report"	Usuario autenticado, Al menos dos posts diferentes en el feed de la Tribu	Ambos reportes se envían exitosamente, aparece toast de confirmación en cada caso
9 Negativo – Reportar Post – Intentar enviar sin seleccionar razón / Web	1. Iniciar sesión como usuario válido 2. Navegar a cualquier Tribu y abrir un post 3. Dar click en los tres puntos y seleccionar "Report post" 4. Sin seleccionar ninguna razón, intentar dar click en el botón "Send report"	Usuario autenticado perteneciente a al menos una Tribu	El botón "Send report" permanece deshabilitado y no permite el envío del reporte
10 Borde – Reportar Post – Reportar post propio / Web	1. Iniciar sesión como usuario válido 2. Navegar a cualquier Tribu donde el usuario haya creado un post 3. Localizar un post propio 4. Dar click en el icono de tres puntos del post propio 5. Verificar si aparece la opción "Report post" 6. Si aparece, seleccionarla y completar el flujo de reporte	Usuario autenticado con posts propios en la Tribu	El sistema permite reportar el post propio (si la opción está disponible) o maneja adecuadamente el caso según el diseño establecido
11 Look & Feel – Reportar Post – Diseño del menú de tres puntos / Web	1. Iniciar sesión como usuario válido 2. Navegar a cualquier Tribu 3. Dar click en el icono de tres puntos de un post 4. Verificar la apariencia visual del menú desplegable con la opción "Report post"	Usuario autenticado, Referencia de diseño Figma (node-id=18254-324284)	El menú desplegable coincide con el diseño especificado en Figma: posición correcta del icono (esquina superior izquierda), opción "Report post" visible y con el estilo correcto
12 Look & Feel – Reportar Post – Diseño del modal Report an issue / Web	1. Iniciar sesión como usuario válido 2. Navegar a cualquier Tribu y abrir un post 3. Dar click en los tres puntos y seleccionar "Report post" 4. Verificar la apariencia visual del modal "Report an issue"	Usuario autenticado, Referencia de diseño Figma (node-id=18254-325053)	El modal coincide con el diseño especificado: título correcto, lista de opciones de reporte visible, icono X en la posición correcta, botón "Send report" con el estilo apropiado (deshabilitado inicialmente)
13 Look & Feel – Reportar Post – Diseño del toast de confirmación / Web	1. Iniciar sesión como usuario válido 2. Navegar a cualquier Tribu y completar el flujo de reporte de un post 3. Después de enviar el reporte, observar el toast que aparece 4. Verificar posición, mensaje y estilo visual del toast	Usuario autenticado, Referencia de diseño Figma (node-id=18261-323985)	El toast de confirmación coincide con el diseño especificado en Figma: mensaje correcto informando que el reporte fue enviado, posición adecuada en pantalla, duración y estilo visual apropiados
14 Look & Feel – Reportar Post – Estado visual del botón Send report deshabilitado / Web	1. Iniciar sesión como usuario válido 2. Navegar a cualquier Tribu y abrir el modal de reporte sin seleccionar razón 3. Verificar el estilo visual del botón "Send report" en estado deshabilitado	Usuario autenticado	El botón "Send report" muestra claramente su estado deshabilitado con el estilo visual apropiado (color atenuado, cursor no permitido, etc.)
15 Look & Feel – Reportar Post – Estado visual del botón Send report habilitado / Web	1. Iniciar sesión como usuario válido 2. Navegar a cualquier Tribu y abrir el modal de reporte 3. Seleccionar una razón de reporte 4. Verificar el estilo visual del botón "Send report" en estado habilitado	Usuario autenticado, Razón de reporte seleccionada	El botón "Send report" muestra claramente su estado habilitado con el estilo visual apropiado (color activo, cursor pointer, etc.) y coincide con el diseño de Figma
